City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,usinsk,65.9939,57.5281,-12.95,97,10,9.75,RU,1707570598
342,kenai,60.5544,-151.2583,32.09,86,20,9.22,US,1707570796
343,pandan,14.0453,124.1694,77.4,82,49,16.82,PH,1707570572
344,chernyshevskiy,63.0128,112.4714,-36.26,100,65,3.13,RU,1707570797
345,aripuana,-9.1667,-60.6333,86.07,65,74,2.3,BR,1707570635
346,belel,7.05,14.4333,89.06,14,61,6.82,CM,1707570683
347,nogliki,51.8333,143.1667,-8.16,100,54,4.76,RU,1707570797
348,auki,-8.7676,160.7034,78.67,89,100,11.65,SB,1707570797
349,serhiyivka,46.0272,30.3768,47.71,77,100,12.91,UA,1707570797
350,altamira,-3.2033,-52.2064,76.91,95,100,3.31,BR,1707570797
351,ciudad lazaro cardenas,17.9583,-102.2,67.26,82,5,4.74,MX,1707570797
352,mermoz boabab,14.7065,-17.4758,93.76,67,0,15.43,SN,1707570632
353,lumut,4.2323,100.6298,80.31,77,92,3.85,MY,1707570595
354,maulavi bazar,24.4833,91.7833,66.79,47,0,4.14,BD,1707570798
355,avarua,-21.2078,-159.775,80.65,83,75,16.11,CK,1707570601
356,saurimo,-9.6608,20.3916,79.41,68,96,3.4,AO,1707570636
357,pekan,3.4836,103.3996,74.32,93,100,5.86,MY,1707570798
358,anloga,5.7947,0.8973,97.02,34,61,9.64,GH,1707570798
359,holualoa,19.6228,-155.9522,67.84,86,20,8.05,US,1707570628
360,luwuk,-0.9516,122.7875,80.19,82,98,5.64,ID,1707570799
361,maine soroa,13.2114,12.0241,88.99,7,11,3.91,NE,1707570799
362,changleng,28.7,115.8167,50.14,74,0,2.8,CN,1707570799
